name,code,pop
新北市,New Taipei City,"4,028,324"
臺中市,Taichung City,"2,816,819"
高雄市,Kaohsiung City,"2,769,434"
臺北市,Taipei City,"2,615,642"
桃園市,Taoyuan City,"2,262,440"
臺南市,Tainan City,"1,876,829"
彰化縣,Changhua County,"1,268,766"
屏東縣,Pingtung County,"814,895"
雲林縣,Yunlin County,"678,589"
新竹縣,Hsinchu County,"568,526"
苗栗縣,Miaoli County,"543,711"
嘉義縣,Chiayi County,"500,654"
南投縣,Nantou County,"492,168"
宜蘭縣,Yilan County,"453,646"
新竹市,Hsinchu City,"450,288"
基隆市,Keelung City,"368,184"
花蓮縣,Hualien County,"325,018"
嘉義市,Chiayi City,"266,668"
臺東縣,Taitung County,"215,674"
金門縣,Kinmen County,"139,703"
澎湖縣,Penghu County,"105,277"
連江縣,Lienchiang County,"13,089"
